Location,Date,Total_Confirmed,Total_Deaths,Daily_Confirmed,Daily_Deaths,daily_vaccinations,daily_vaccinations_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,gdppc
Afghanistan,2021-04-22,58312,2561,98,4,8000,206,0.62,0.0,507.1
Afghanistan,2021-04-21,58214,2557,177,8,8000,206,,0.0,507.1
Afghanistan,2021-04-20,58037,2549,139,3,8000,206,,0.0,507.1
Afghanistan,2021-04-19,57898,2546,105,7,8000,206,,0.0,507.1
Afghanistan,2021-04-18,57793,2539,72,0,8000,206,,0.0,507.1
Afghanistan,2021-04-17,57721,2539,109,4,8000,206,,0.0,507.1
Afghanistan,2021-04-16,57612,2535,78,2,8000,206,,0.0,507.1
Afghanistan,2021-04-15,57534,2533,42,1,8000,206,,0.0,507.1
Afghanistan,2021-04-14,57492,2532,128,3,8000,206,,0.0,507.1
Afghanistan,2021-04-13,57364,2529,122,0,7286,187,,0.0,507.1
Afghanistan,2021-04-12,57242,2529,82,8,6571,169,,0.0,507.1
Afghanistan,2021-04-11,57160,2521,16,0,5857,150,,0.0,507.1
Afghanistan,2021-04-10,57144,2521,125,0,5143,132,,0.0,507.1
Afghanistan,2021-04-09,57019,2521,76,5,4429,114,,0.0,507.1
Afghanistan,2021-04-08,56943,2516,70,4,3714,95,,0.0,507.1
Afghanistan,2021-04-07,56873,2512,94,0,3000,77,0.31,0.0,507.1
Afghanistan,2021-04-06,56779,2512,62,4,3000,77,,0.0,507.1
Afghanistan,2021-04-05,56717,2508,41,11,3000,77,,0.0,507.1
Afghanistan,2021-04-04,56676,2497,81,1,3000,77,,0.0,507.1
Afghanistan,2021-04-03,56595,2496,23,1,3000,77,,0.0,507.1
Afghanistan,2021-04-02,56572,2495,55,6,3000,77,,0.0,507.1
Afghanistan,2021-04-01,56517,2489,63,5,3000,77,,0.0,507.1
Afghanistan,2021-03-31,56454,2484,70,8,3000,77,,0.0,507.1
Afghanistan,2021-03-30,56384,2476,62,4,3000,77,,0.0,507.1
Afghanistan,2021-03-29,56322,2472,28,2,3000,77,,0.0,507.1
Afghanistan,2021-03-28,56294,2470,4,1,3000,77,,0.0,507.1
Afghanistan,2021-03-27,56290,2469,36,2,3000,77,,0.0,507.1
Afghanistan,2021-03-26,56254,2467,28,0,3000,77,,0.0,507.1
Afghanistan,2021-03-25,56226,2467,34,1,3000,77,,0.0,507.1
Afghanistan,2021-03-24,56192,2466,15,0,3000,77,,0.0,507.1
Afghanistan,2021-03-23,56177,2466,24,2,3000,77,,0.0,507.1
Afghanistan,2021-03-22,56153,2464,50,1,2980,77,,0.0,507.1
Afghanistan,2021-03-21,56103,2463,10,1,2961,76,,0.0,507.1
Afghanistan,2021-03-20,56093,2462,24,0,2941,76,,0.0,507.1
Afghanistan,2021-03-19,56069,2462,25,0,2921,75,,0.0,507.1
Afghanistan,2021-03-18,56044,2462,28,2,2902,75,,0.0,507.1
Afghanistan,2021-03-17,56016,2460,21,0,2882,74,,0.0,507.1
Afghanistan,2021-03-16,55995,2460,10,1,2862,74,0.14,0.0,507.1
Afghanistan,2021-03-15,55985,2459,0,2,2862,74,,0.0,507.1
Afghanistan,2021-03-14,55985,2457,26,3,2862,74,,0.0,507.1
Afghanistan,2021-03-13,55959,2454,0,0,2862,74,,0.0,507.1
Afghanistan,2021-03-12,55959,2454,42,3,2862,74,,0.0,507.1
Afghanistan,2021-03-11,55917,2451,23,0,2862,74,,0.0,507.1
Afghanistan,2021-03-10,55894,2451,18,0,2862,74,,0.0,507.1
Afghanistan,2021-03-09,55876,2451,0,0,2862,74,,0.0,507.1
Afghanistan,2021-03-08,55876,2451,29,2,2862,74,,0.0,507.1
Afghanistan,2021-03-07,55847,2449,7,0,2862,74,,0.0,507.1
Afghanistan,2021-03-06,55840,2449,13,0,2649,68,,0.0,507.1
Afghanistan,2021-03-05,55827,2449,52,3,2435,63,,0.0,507.1
Afghanistan,2021-03-04,55775,2446,5,0,2221,57,,0.0,507.1
Afghanistan,2021-03-03,55770,2446,11,0,2008,52,,0.0,507.1
Afghanistan,2021-03-02,55759,2446,26,2,1794,46,,0.0,507.1
Afghanistan,2021-03-01,55733,2444,19,1,1580,41,,0.0,507.1
Afghanistan,2021-02-28,55714,2443,7,0,1367,35,0.02,0.0,507.1
Afghanistan,2021-02-27,55707,2443,11,1,1367,35,,0.0,507.1
Afghanistan,2021-02-26,55696,2442,16,4,1367,35,,0.0,507.1
Afghanistan,2021-02-25,55680,2438,16,2,1367,35,,0.0,507.1
Afghanistan,2021-02-24,55664,2436,18,1,1367,35,,0.0,507.1
Afghanistan,2021-02-23,55646,2435,29,2,1367,35,,0.0,507.1
Afghanistan,2021-02-22,55617,2433,13,1,No Data,No Data,0.0,0.0,507.1
Albania,2021-05-06,131510,2406,91,3,16997,5906,,0.0,5353.24
Albania,2021-05-05,131419,2403,92,1,17565,6104,,0.0,5353.24
Albania,2021-05-04,131327,2402,51,3,17219,5983,,0.0,5353.24
Albania,2021-05-03,131276,2399,38,2,15555,5405,,0.0,5353.24
Albania,2021-05-02,131238,2397,53,1,14489,5035,,0.0,5353.24
Albania,2021-05-01,131185,2396,100,2,13423,4664,,0.0,5353.24
Albania,2021-04-30,131085,2394,108,5,12222,4247,,0.0,5353.24
Albania,2021-04-29,130977,2389,118,3,10036,3487,,0.0,5353.24
Albania,2021-04-28,130859,2386,123,3,8793,3055,,0.0,5353.24
Albania,2021-04-27,130736,2383,130,4,9551,3319,,0.0,5353.24
Albania,2021-04-26,130606,2379,69,1,8955,3112,,0.0,5353.24
Albania,2021-04-25,130537,2378,128,6,10205,3546,,0.0,5353.24
Albania,2021-04-24,130409,2372,139,5,10746,3734,,0.0,5353.24
