,country,population,confirmed,recovered,deaths
0,Afghanistan,35530081,59576,53103,2618
1,Albania,2930187,130977,108606,2389
2,Algeria,41318142,121866,84940,3244
3,Andorra,76965,13198,12650,125
4,Angola,29784193,26431,23606,594
5,Antigua and Barbuda,102012,1232,1014,32
6,Argentina,44271041,2954943,2608077,63508
7,Armenia,2930450,215528,197171,4087
8,Australia,24450561,29781,23279,910
9,Austria,8735453,616739,582575,10179
10,Azerbaijan,9827589,317913,287298,4490
11,Bahamas,395361,10349,9421,198
12,Bahrain,1492584,175752,164904,639
13,Bangladesh,164669751,756955,677101,11393
14,Barbados,285719,3838,3759,44
15,Belarus,9468338,357233,347554,2532
16,Belgium,11429336,982959,0,24140
17,Belize,374681,12639,12198,323
18,Benin,11175692,7821,7580,99
19,Bhutan,807610,1066,961,1
20,Bolivia,11051600,301831,249103,12920
21,Bosnia and Herzegovina,3507017,197866,158641,8512
22,Botswana,2291661,46934,44960,712
23,Brazil,209288278,14590678,12938343,401186
24,Brunei,428697,224,215,3
25,Bulgaria,7084571,403728,338312,16368
26,Burkina Faso,19193382,13304,13015,157
27,Burma,Incomplete Data,Incomplete Data,Incomplete Data,Incomplete Data
28,Burundi,10864245,3985,773,6
29,Cabo Verde,Incomplete Data,Incomplete Data,Incomplete Data,Incomplete Data
30,Cambodia,16005373,12641,4986,91
31,Cameroon,24053727,65998,35261,991
32,Canada,36624199,1220108,1116894,24165
33,Central African Republic,4659080,6411,5112,88
34,Chad,14899994,4810,4416,170
35,Chile,18054726,1190991,1125761,26247
36,China,1409517397,102461,97132,4845
37,Colombia,49065615,2841934,2650643,73230
38,Comoros,813912,3834,3674,146
39,Congo (Brazzaville),Incomplete Data,Incomplete Data,Incomplete Data,Incomplete Data
40,Congo (Kinshasa),Incomplete Data,Incomplete Data,Incomplete Data,Incomplete Data
41,Costa Rica,4905769,248382,202593,3217
42,Cote d'Ivoire,24294750,45943,45469,286
43,Croatia,4189353,330176,308258,7040
44,Cuba,11484636,105661,99630,632
45,Cyprus,1179551,65233,39061,308
46,Czechia,10618303,1628536,1548014,29213
47,Denmark,5733551,251248,238450,2484
48,Diamond Princess,Incomplete Data,Incomplete Data,Incomplete Data,Incomplete Data
49,Djibouti,956985,11026,10646,143
50,Dominica,73925,174,172,0
51,Dominican Republic,10766998,266214,224746,3471
52,Ecuador,16624858,380689,318598,18552
53,Egypt,97553151,225528,169308,13219
54,El Salvador,6377853,69198,64876,2120
55,Equatorial Guinea,1267689,7694,7279,112
56,Eritrea,5068831,3671,3492,10
57,Estonia,1309632,121657,110599,1158
58,Eswatini,Incomplete Data,Incomplete Data,Incomplete Data,Incomplete Data
59,Ethiopia,104957438,256418,197916,3658
60,Fiji,905502,116,65,2
61,Finland,5523231,86613,46000,913
62,France,64979548,5653533,344830,104385
63,Gabon,2025137,22818,19390,138
64,Gambia,2100568,5887,5341,174
65,Georgia,3912061,308834,289976,4095
66,Germany,82114224,3376918,2987910,82657
67,Ghana,28833629,92562,90196,779
68,Greece,11159773,342908,93764,10315
69,Grenada,107825,160,158,1
70,Guatemala,16913503,226247,201621,7500
71,Guinea,12717176,22152,19623,144
72,Guinea-Bissau,1861283,3731,3267,67
73,Guyana,777859,12963,11070,293
74,Haiti,10981229,13017,12143,254
75,Holy See,1000,27,15,0
76,Honduras,9265067,209490,78140,5223
77,Hungary,9721559,776983,503697,27358
78,Iceland,335025,6466,6246,29
79,India,1339180127,18376524,15086878,204832
80,Indonesia,263991379,1662868,1517432,45334
81,Iran,81162788,2479805,1938064,71351
82,Iraq,38274618,1058794,934935,15433
83,Ireland,4761657,248326,23364,4899
84,Israel,8321570,838407,830530,6362
85,Italy,59359900,4009208,3449955,120544
86,Jamaica,2890299,45414,20945,770
87,Japan,127484450,582184,515404,10073
88,Jordan,9702353,709817,680907,8801
89,Kazakhstan,18204499,369704,322749,3331
90,Kenya,49699862,158821,108124,2707
91,"Korea, South",50982212,121351,110787,1825
92,Kosovo,Incomplete Data,Incomplete Data,Incomplete Data,Incomplete Data
93,Kuwait,4136528,272562,255817,1554
94,Kyrgyzstan,6045117,94944,88923,1598
95,Laos,6858160,672,50,0
96,Latvia,1949670,117795,107069,2125
97,Lebanon,6082357,525577,457758,7249
