,country,date,gdppc
1,Arab World,2019,6584.74024069285
62,Caribbean small states,2019,10500.9719018527
123,Central Europe and the Baltics,2019,16298.4787641658
184,Early-demographic dividend,2019,3644.0141582552296
245,East Asia & Pacific,2019,11502.8651112611
306,East Asia & Pacific (excluding high income),2019,8192.14333610989
367,East Asia & Pacific (IDA & IBRD countries),2019,8278.073974577941
428,Euro area,2019,38976.3428800255
489,Europe & Central Asia,2019,24742.719826381002
550,Europe & Central Asia (excluding high income),2019,8133.573458253871
611,Europe & Central Asia (IDA & IBRD countries),2019,9017.5389507441
672,European Union,2019,34913.1915566094
733,Fragile and conflict affected situations,2019,2228.27023676996
794,Heavily indebted poor countries (HIPC),2019,976.741808708116
855,High income,2019,44612.485834882595
916,IBRD only,2019,6548.47537950346
977,IDA & IBRD total,2019,5218.50047492299
1038,IDA blend,2019,1765.6644083079898
1099,IDA only,2019,1200.92517973111
1160,IDA total,2019,1388.83343672189
1221,Late-demographic dividend,2019,9971.857111723359
1282,Latin America & Caribbean,2019,8869.89562389277
1343,Latin America & Caribbean (excluding high income),2019,8390.06292074217
1404,Latin America & the Caribbean (IDA & IBRD countries),2019,8702.13746386907
1465,Least developed countries: UN classification,2019,1079.20461356443
1526,Low & middle income,2019,5070.697596873571
1587,Low income,2019,810.094853446518
1648,Lower middle income,2019,2174.4355710864497
1709,Middle East & North Africa,2019,7991.092103063359
1770,Middle East & North Africa (excluding high income),2019,
1831,Middle East & North Africa (IDA & IBRD countries),2019,
1892,Middle income,2019,5561.927576119879
1953,North America,2019,63343.34504841731
2014,Not classified,2019,
2075,OECD members,2019,39482.1385672839
2136,Other small states,2019,13777.916558831499
2197,Pacific island small states,2019,4264.66741440106
2258,Post-demographic dividend,2019,45615.1151814217
2319,Pre-demographic dividend,2019,1485.6495846225198
2380,Small states,2019,12615.2034889624
2441,South Asia,2019,1956.57592140193
2502,South Asia (IDA & IBRD),2019,1956.57592140193
2563,Sub-Saharan Africa,2019,1596.21373862471
2624,Sub-Saharan Africa (excluding high income),2019,1583.92606891839
2685,Sub-Saharan Africa (IDA & IBRD countries),2019,1596.21373862471
2746,Upper middle income,2019,9013.749963600709
2807,World,2019,11433.215721203602
2868,Afghanistan,2019,507.103431871987
2929,Albania,2019,5353.2448564014
2990,Algeria,2019,3973.96407191565
3051,American Samoa,2019,
3112,Andorra,2019,40886.3911648431
3173,Angola,2019,2790.72661520665
3234,Antigua and Barbuda,2019,17112.8211347326
3295,Argentina,2019,9912.28180859803
3356,Armenia,2019,4622.733493286711
3417,Aruba,2019,
3478,Australia,2019,55057.204696066605
3539,Austria,2019,50121.5542131186
3600,Azerbaijan,2019,4793.125559087221
3661,"Bahamas, The",2019,34863.7420984795
3722,Bahrain,2019,23503.977126673
3783,Bangladesh,2019,1855.7398240804603
3844,Barbados,2019,18148.2449264001
3905,Belarus,2019,6697.96861498416
3966,Belgium,2019,46345.40329252231
4027,Belize,2019,4815.1637107951
4088,Benin,2019,1219.43267185875
4149,Bermuda,2019,116889.952676215
4210,Bhutan,2019,3316.1757135008397
4271,Bolivia,2019,3552.0687602631
4332,Bosnia and Herzegovina,2019,6108.51069581338
4393,Botswana,2019,7961.32518123885
4454,Brazil,2019,8717.18627810819
