,country,date,gdppc
0,Arab World,2019,6584.74024069285
1,Caribbean small states,2019,10500.9719018527
2,Central Europe and the Baltics,2019,16298.4787641658
3,Early-demographic dividend,2019,3644.0141582552296
4,East Asia & Pacific,2019,11502.8651112611
5,East Asia & Pacific (excluding high income),2019,8192.14333610989
6,East Asia & Pacific (IDA & IBRD countries),2019,8278.073974577941
7,Euro area,2019,38976.3428800255
8,Europe & Central Asia,2019,24742.719826381002
9,Europe & Central Asia (excluding high income),2019,8133.573458253871
10,Europe & Central Asia (IDA & IBRD countries),2019,9017.5389507441
11,European Union,2019,34913.1915566094
12,Fragile and conflict affected situations,2019,2228.27023676996
13,Heavily indebted poor countries (HIPC),2019,976.741808708116
14,High income,2019,44612.485834882595
15,IBRD only,2019,6548.47537950346
16,IDA & IBRD total,2019,5218.50047492299
17,IDA blend,2019,1765.6644083079898
18,IDA only,2019,1200.92517973111
19,IDA total,2019,1388.83343672189
20,Late-demographic dividend,2019,9971.85711172336
21,Latin America & Caribbean,2019,8869.89562389277
22,Latin America & Caribbean (excluding high income),2019,8390.06292074217
23,Latin America & the Caribbean (IDA & IBRD countries),2019,8702.13746386907
24,Least developed countries: UN classification,2019,1079.20461356443
25,Low & middle income,2019,5070.6975968735715
26,Low income,2019,810.094853446518
27,Lower middle income,2019,2174.4355710864497
28,Middle East & North Africa,2019,7991.092103063359
29,Middle East & North Africa (excluding high income),2019,
30,Middle East & North Africa (IDA & IBRD countries),2019,
31,Middle income,2019,5561.927576119879
32,North America,2019,63343.345048417315
33,Not classified,2019,
34,OECD members,2019,39482.1385672839
35,Other small states,2019,13777.916558831499
36,Pacific island small states,2019,4264.66741440106
37,Post-demographic dividend,2019,45615.1151814217
38,Pre-demographic dividend,2019,1485.6495846225198
39,Small states,2019,12615.2034889624
40,South Asia,2019,1956.57592140193
41,South Asia (IDA & IBRD),2019,1956.57592140193
42,Sub-Saharan Africa,2019,1596.21373862471
43,Sub-Saharan Africa (excluding high income),2019,1583.92606891839
44,Sub-Saharan Africa (IDA & IBRD countries),2019,1596.21373862471
45,Upper middle income,2019,9013.749963600709
46,World,2019,11433.215721203602
47,Afghanistan,2019,507.103431871987
48,Albania,2019,5353.2448564014
49,Algeria,2019,3973.96407191565
50,American Samoa,2019,
51,Andorra,2019,40886.3911648431
52,Angola,2019,2790.72661520665
53,Antigua and Barbuda,2019,17112.8211347326
54,Argentina,2019,9912.28180859803
55,Armenia,2019,4622.733493286711
56,Aruba,2019,
57,Australia,2019,55057.20469606661
58,Austria,2019,50121.5542131186
59,Azerbaijan,2019,4793.1255590872215
60,"Bahamas, The",2019,34863.7420984795
61,Bahrain,2019,23503.977126673
62,Bangladesh,2019,1855.7398240804605
63,Barbados,2019,18148.2449264001
64,Belarus,2019,6697.96861498416
65,Belgium,2019,46345.403292522315
66,Belize,2019,4815.1637107951
67,Benin,2019,1219.43267185875
68,Bermuda,2019,116889.952676215
69,Bhutan,2019,3316.1757135008397
70,Bolivia,2019,3552.0687602631
71,Bosnia and Herzegovina,2019,6108.51069581338
72,Botswana,2019,7961.32518123885
73,Brazil,2019,8717.18627810819
74,British Virgin Islands,2019,
75,Brunei Darussalam,2019,31086.751118802797
76,Bulgaria,2019,9828.148514781391
77,Burkina Faso,2019,786.895631290168
78,Burundi,2019,261.247472515742
79,Cabo Verde,2019,3603.7817930451397
80,Cambodia,2019,1643.12138876539
81,Cameroon,2019,1507.45020591288
82,Canada,2019,46189.6601146616
83,Cayman Islands,2019,
84,Central African Republic,2019,467.9074406363349
85,Chad,2019,709.5403101385332
86,Channel Islands,2019,
87,Chile,2019,14896.453866578899
88,China,2019,10216.6303341031
89,Colombia,2019,6428.676205627679
90,Comoros,2019,1370.14820676715
91,"Congo, Dem. Rep.",2019,580.7168672077449
92,"Congo, Rep.",2019,2279.96913053355
93,Costa Rica,2019,12243.811426760703
94,Cote d'Ivoire,2019,2276.33327906444
95,Croatia,2019,14944.356224893601
96,Cuba,2019,
97,Curacao,2019,19701.270377457
98,Cyprus,2019,27858.3709958327
99,Czech Republic,2019,23489.838662731803
100,Denmark,2019,60213.0921454746
101,Djibouti,2019,3414.92486968779
102,Dominica,2019,8110.56851191655
103,Dominican Republic,2019,8282.11635935324
104,Ecuador,2019,6183.8238248217285
105,"Egypt, Arab Rep.",2019,3019.20582861756
106,El Salvador,2019,4187.2500311069
107,Equatorial Guinea,2019,8131.92388810912
108,Eritrea,2019,
109,Estonia,2019,23717.799451233706
110,Eswatini,2019,3894.67980685427
111,Ethiopia,2019,855.7608622808382
112,Faroe Islands,2019,
113,Fiji,2019,6175.88872032104
114,Finland,2019,48771.373796028085
115,France,2019,40496.3640344875
116,French Polynesia,2019,
117,Gabon,2019,7767.013404407879
118,"Gambia, The",2019,777.811932084008
119,Georgia,2019,4697.98364793096
120,Germany,2019,46467.516202385596
121,Ghana,2019,2202.11556738065
122,Gibraltar,2019,
123,Greece,2019,19580.988331231798
124,Greenland,2019,
125,Grenada,2019,10808.6721222084
126,Guam,2019,
127,Guatemala,2019,4619.98525821971
128,Guinea,2019,962.839908587778
