Location,Date,Total_Confirmed,Total_Deaths,Daily_Confirmed,Daily_Deaths
Afghanistan,2021-04-30,59745,2625,169,7
Afghanistan,2021-04-29,59576,2618,206,7
Afghanistan,2021-04-28,59370,2611,145,13
Afghanistan,2021-04-27,59225,2598,210,6
Afghanistan,2021-04-26,59015,2592,172,10
Afghanistan,2021-04-25,58843,2582,113,10
Afghanistan,2021-04-24,58730,2572,188,7
Afghanistan,2021-04-23,58542,2565,230,4
Afghanistan,2021-04-22,58312,2561,98,4
Afghanistan,2021-04-21,58214,2557,177,8
Afghanistan,2021-04-20,58037,2549,139,3
Afghanistan,2021-04-19,57898,2546,105,7
Afghanistan,2021-04-18,57793,2539,72,0
Afghanistan,2021-04-17,57721,2539,109,4
Afghanistan,2021-04-16,57612,2535,78,2
Afghanistan,2021-04-15,57534,2533,42,1
Afghanistan,2021-04-14,57492,2532,128,3
Afghanistan,2021-04-13,57364,2529,122,0
Afghanistan,2021-04-12,57242,2529,82,8
Afghanistan,2021-04-11,57160,2521,16,0
Afghanistan,2021-04-10,57144,2521,125,0
Afghanistan,2021-04-09,57019,2521,76,5
Afghanistan,2021-04-08,56943,2516,70,4
Afghanistan,2021-04-07,56873,2512,94,0
Afghanistan,2021-04-06,56779,2512,62,4
Afghanistan,2021-04-05,56717,2508,41,11
Afghanistan,2021-04-04,56676,2497,81,1
Afghanistan,2021-04-03,56595,2496,23,1
Afghanistan,2021-04-02,56572,2495,55,6
Afghanistan,2021-04-01,56517,2489,63,5
Albania,2021-04-30,131085,2394,108,5
Albania,2021-04-29,130977,2389,118,3
Albania,2021-04-28,130859,2386,123,3
Albania,2021-04-27,130736,2383,130,4
Albania,2021-04-26,130606,2379,69,1
Albania,2021-04-25,130537,2378,128,6
Albania,2021-04-24,130409,2372,139,5
Albania,2021-04-23,130270,2367,156,3
Albania,2021-04-22,130114,2364,134,6
Albania,2021-04-21,129980,2358,138,5
Albania,2021-04-20,129842,2353,148,6
Albania,2021-04-19,129694,2347,100,5
Albania,2021-04-18,129594,2342,138,2
Albania,2021-04-17,129456,2340,149,3
Albania,2021-04-16,129307,2337,179,2
Albania,2021-04-15,129128,2335,169,4
Albania,2021-04-14,128959,2331,207,5
Albania,2021-04-13,128752,2326,234,5
Albania,2021-04-12,128518,2321,125,4
Albania,2021-04-11,128393,2317,238,7
Albania,2021-04-10,128155,2310,360,6
Albania,2021-04-09,127795,2304,286,7
Albania,2021-04-08,127509,2297,317,6
Albania,2021-04-07,127192,2291,256,8
Albania,2021-04-06,126936,2283,141,9
Albania,2021-04-05,126795,2274,264,9
Albania,2021-04-04,126531,2265,348,9
Albania,2021-04-03,126183,2256,341,9
Albania,2021-04-02,125842,2247,336,6
Albania,2021-04-01,125506,2241,349,6
Algeria,2021-04-30,122108,3253,242,9
Algeria,2021-04-29,121866,3244,286,10
Algeria,2021-04-28,121580,3234,236,9
Algeria,2021-04-27,121344,3225,232,8
Algeria,2021-04-26,121112,3217,190,10
Algeria,2021-04-25,120922,3207,186,9
Algeria,2021-04-24,120736,3198,174,8
Algeria,2021-04-23,120562,3190,199,9
Algeria,2021-04-22,120363,3181,189,9
Algeria,2021-04-21,120174,3172,182,7
Algeria,2021-04-20,119992,3165,187,5
Algeria,2021-04-19,119805,3160,163,5
Algeria,2021-04-18,119642,3155,156,3
Algeria,2021-04-17,119486,3152,163,4
Algeria,2021-04-16,119323,3148,181,4
Algeria,2021-04-15,119142,3144,167,3
Algeria,2021-04-14,118975,3141,176,4
Algeria,2021-04-13,118799,3137,154,3
Algeria,2021-04-12,118645,3134,129,4
Algeria,2021-04-11,118516,3130,138,4
Algeria,2021-04-10,118378,3126,127,3
Algeria,2021-04-09,118251,3123,135,4
Algeria,2021-04-08,118116,3119,112,3
Algeria,2021-04-07,118004,3116,125,4
Algeria,2021-04-06,117879,3112,140,4
Algeria,2021-04-05,117739,3108,117,3
Algeria,2021-04-04,117622,3105,98,3
Algeria,2021-04-03,117524,3102,95,3
Algeria,2021-04-02,117429,3099,125,3
Algeria,2021-04-01,117304,3096,112,3
