Location,Date,Total_Confirmed,Total_Deaths,Daily_Confirmed,Daily_Deaths,daily_vaccinations,daily_vaccinations_per_million
Afghanistan,2021-04-22,58312,2561,98,4,8000,206
Afghanistan,2021-04-21,58214,2557,177,8,8000,206
Afghanistan,2021-04-20,58037,2549,139,3,8000,206
Afghanistan,2021-04-19,57898,2546,105,7,8000,206
Afghanistan,2021-04-18,57793,2539,72,0,8000,206
Afghanistan,2021-04-17,57721,2539,109,4,8000,206
Afghanistan,2021-04-16,57612,2535,78,2,8000,206
Afghanistan,2021-04-15,57534,2533,42,1,8000,206
Afghanistan,2021-04-14,57492,2532,128,3,8000,206
Afghanistan,2021-04-13,57364,2529,122,0,7286,187
Afghanistan,2021-04-12,57242,2529,82,8,6571,169
Afghanistan,2021-04-11,57160,2521,16,0,5857,150
Afghanistan,2021-04-10,57144,2521,125,0,5143,132
Afghanistan,2021-04-09,57019,2521,76,5,4429,114
Afghanistan,2021-04-08,56943,2516,70,4,3714,95
Afghanistan,2021-04-07,56873,2512,94,0,3000,77
Afghanistan,2021-04-06,56779,2512,62,4,3000,77
Afghanistan,2021-04-05,56717,2508,41,11,3000,77
Afghanistan,2021-04-04,56676,2497,81,1,3000,77
Afghanistan,2021-04-03,56595,2496,23,1,3000,77
Afghanistan,2021-04-02,56572,2495,55,6,3000,77
Afghanistan,2021-04-01,56517,2489,63,5,3000,77
Albania,2021-04-30,131085,2394,108,5,12222,4247
Albania,2021-04-29,130977,2389,118,3,10036,3487
Albania,2021-04-28,130859,2386,123,3,8793,3055
Albania,2021-04-27,130736,2383,130,4,9551,3319
Albania,2021-04-26,130606,2379,69,1,8955,3112
Albania,2021-04-25,130537,2378,128,6,10205,3546
Albania,2021-04-24,130409,2372,139,5,10746,3734
Albania,2021-04-23,130270,2367,156,3,10961,3809
Albania,2021-04-22,130114,2364,134,6,11216,3897
Albania,2021-04-21,129980,2358,138,5,11318,3933
Albania,2021-04-20,129842,2353,148,6,9826,3414
Albania,2021-04-19,129694,2347,100,5,11200,3892
Albania,2021-04-18,129594,2342,138,2,10105,3511
Albania,2021-04-17,129456,2340,149,3,9719,3377
Albania,2021-04-16,129307,2337,179,2,9135,3174
Albania,2021-04-15,129128,2335,169,4,8849,3075
Albania,2021-04-14,128959,2331,207,5,8639,3002
Albania,2021-04-13,128752,2326,234,5,8518,2960
Albania,2021-04-12,128518,2321,125,4,8689,3019
Albania,2021-04-11,128393,2317,238,7,9898,3439
Albania,2021-04-10,128155,2310,360,6,10188,3540
Albania,2021-04-09,127795,2304,286,7,11170,3881
Albania,2021-04-08,127509,2297,317,6,12440,4323
Albania,2021-04-07,127192,2291,256,8,13362,4643
Albania,2021-04-06,126936,2283,141,9,14610,5077
Albania,2021-04-05,126795,2274,264,9,15435,5363
Albania,2021-04-04,126531,2265,348,9,16412,5703
Albania,2021-04-03,126183,2256,341,9,17346,6028
Albania,2021-04-02,125842,2247,336,6,15748,5472
Albania,2021-04-01,125506,2241,349,6,13731,4771
Andorra,2021-04-19,12805,123,0,0,1050,13590
Andorra,2021-04-18,12805,123,34,0,1182,15298
Andorra,2021-04-17,12771,123,59,0,1075,13913
Andorra,2021-04-16,12712,123,71,2,969,12541
Andorra,2021-04-15,12641,121,0,0,862,11156
Andorra,2021-04-14,12641,121,27,0,755,9772
Andorra,2021-04-13,12614,121,33,0,649,8400
Andorra,2021-04-12,12581,121,36,1,542,7015
Andorra,2021-04-11,12545,120,48,0,664,8594
Andorra,2021-04-10,12497,120,41,0,649,8400
Andorra,2021-04-09,12456,120,47,0,634,8206
Andorra,2021-04-08,12409,120,46,1,619,8011
Andorra,2021-04-07,12363,119,35,2,603,7804
Andorra,2021-04-06,12328,117,42,0,588,7610
Andorra,2021-04-05,12286,117,55,0,573,7416
Andorra,2021-04-04,12231,117,57,0,197,2550
Andorra,2021-04-03,12174,117,59,1,197,2550
Andorra,2021-04-02,12115,116,62,1,197,2550
Andorra,2021-04-01,12053,115,43,0,197,2550
Angola,2021-04-23,25279,574,228,2,16736,509
Angola,2021-04-22,25051,572,168,2,17240,525
Angola,2021-04-21,24883,570,222,5,17743,540
Angola,2021-04-20,24661,565,143,2,18247,555
Angola,2021-04-19,24518,563,129,2,18751,571
Angola,2021-04-18,24389,561,89,0,18751,571
Angola,2021-04-17,24300,561,178,1,17897,545
Angola,2021-04-16,24122,560,171,3,17043,519
Angola,2021-04-15,23951,557,110,0,16189,493
Angola,2021-04-14,23841,557,144,3,15335,467
Angola,2021-04-13,23697,554,148,0,14481,441
Angola,2021-04-12,23549,554,92,1,12710,387
Angola,2021-04-11,23457,553,126,3,10939,333
Angola,2021-04-10,23331,550,89,1,10022,305
Angola,2021-04-09,23242,549,134,0,9105,277
Angola,2021-04-08,23108,549,98,2,8188,249
Angola,2021-04-07,23010,547,125,0,7271,221
Angola,2021-04-06,22885,547,168,4,6354,193
Angola,2021-04-05,22717,543,86,1,6354,193
Angola,2021-04-04,22631,542,52,2,6695,204
Angola,2021-04-03,22579,540,112,2,7037,214
Angola,2021-04-02,22467,538,68,0,7379,225
Angola,2021-04-01,22399,538,88,1,7720,235
Antigua and Barbuda,2021-04-22,1217,31,0,0,250,2553
Antigua and Barbuda,2021-04-21,1217,31,0,0,277,2829
Antigua and Barbuda,2021-04-20,1217,31,0,0,252,2573
Antigua and Barbuda,2021-04-19,1217,31,1,0,228,2328
Antigua and Barbuda,2021-04-18,1216,31,0,0,203,2073
Antigua and Barbuda,2021-04-17,1216,31,3,0,179,1828
Antigua and Barbuda,2021-04-16,1213,31,4,0,154,1573
Antigua and Barbuda,2021-04-15,1209,31,8,0,102,1042
Antigua and Barbuda,2021-04-14,1201,31,0,0,51,521
Antigua and Barbuda,2021-04-13,1201,31,3,1,51,521
Antigua and Barbuda,2021-04-12,1198,30,0,0,51,521
Antigua and Barbuda,2021-04-11,1198,30,1,0,51,521
Antigua and Barbuda,2021-04-10,1197,30,15,0,51,521
Antigua and Barbuda,2021-04-09,1182,30,2,1,53,541
Antigua and Barbuda,2021-04-08,1180,29,3,0,55,562
Antigua and Barbuda,2021-04-07,1177,29,4,0,57,582
Antigua and Barbuda,2021-04-06,1173,29,0,0,60,613
Antigua and Barbuda,2021-04-05,1173,29,3,1,62,633
Antigua and Barbuda,2021-04-04,1170,28,0,0,65,664
Antigua and Barbuda,2021-04-03,1170,28,18,0,67,684
Antigua and Barbuda,2021-04-02,1152,28,5,0,68,694
Antigua and Barbuda,2021-04-01,1147,28,11,0,68,694
Argentina,2021-04-30,2977363,63865,22420,357,151115,3344
Argentina,2021-04-29,2954943,63508,26053,561,145938,3229
Argentina,2021-04-28,2928890,62947,23718,348,143917,3184
Argentina,2021-04-27,2905172,62599,25495,512,136216,3014
Argentina,2021-04-26,2879677,62087,18793,443,125736,2782
Argentina,2021-04-25,2860884,61644,15012,170,120877,2675
Argentina,2021-04-24,2845872,61474,21220,298,112915,2498
Argentina,2021-04-23,2824652,61176,27884,556,102056,2258
Argentina,2021-04-22,2796768,60620,27216,537,108327,2397
Argentina,2021-04-21,2769552,60083,25932,291,113664,2515
Argentina,2021-04-20,2743620,59792,29145,316,123038,2722
Argentina,2021-04-19,2714475,59476,20461,248,134936,2986
Argentina,2021-04-18,2694014,59228,16267,64,139314,3082
Argentina,2021-04-17,2677747,59164,19119,80,146486,3241
Argentina,2021-04-16,2658628,59084,29472,159,162428,3594
Argentina,2021-04-15,2629156,58925,24999,383,166276,3679
Argentina,2021-04-14,2604157,58542,25157,368,169014,3740
Argentina,2021-04-13,2579000,58174,27001,217,166815,3691
Argentina,2021-04-12,2551999,57957,19437,178,161313,3569
Argentina,2021-04-11,2532562,57779,15262,132,154158,3411
Argentina,2021-04-10,2517300,57647,19419,297,146082,3232
Argentina,2021-04-09,2497881,57350,24130,228,118982,2633
Argentina,2021-04-08,2473751,57122,23683,290,106885,2365
Argentina,2021-04-07,2450068,56832,22039,198,97127,2149
Argentina,2021-04-06,2428029,56634,20870,163,94230,2085
Argentina,2021-04-05,2407159,56471,13667,272,87820,1943
Argentina,2021-04-04,2393492,56199,9955,93,87032,1926
Argentina,2021-04-03,2383537,56106,10384,83,86919,1923
Argentina,2021-04-02,2373153,56023,9902,82,92677,2051
Argentina,2021-04-01,2363251,55941,14430,83,93883,2077
Australia,2021-04-30,29811,910,13,0,46278,1815
Australia,2021-04-29,29798,910,25,0,46707,1832
Australia,2021-04-28,29773,910,23,0,44491,1745
Australia,2021-04-27,29750,910,33,0,45150,1771
Australia,2021-04-26,29717,910,37,0,50133,1966
Australia,2021-04-25,29680,910,17,0,62452,2449
Australia,2021-04-24,29663,910,10,0,62784,2462
Australia,2021-04-23,29653,910,15,0,62146,2437
Australia,2021-04-22,29638,910,44,0,60810,2385
Australia,2021-04-21,29594,910,18,0,60348,2367
Australia,2021-04-20,29576,910,20,0,59801,2345
Australia,2021-04-19,29556,910,23,0,58322,2287
Australia,2021-04-18,29533,910,14,0,47192,1851
Australia,2021-04-17,29519,910,20,0,47956,1881
Australia,2021-04-16,29499,910,15,0,49009,1922
Australia,2021-04-15,29484,910,15,0,51931,2037
Australia,2021-04-14,29469,910,19,0,53620,2103
Australia,2021-04-13,29450,910,21,0,54243,2127
Australia,2021-04-12,29429,910,10,1,47713,1871
Australia,2021-04-11,29419,909,14,0,46198,1812
Australia,2021-04-10,29405,909,9,0,44350,1739
Australia,2021-04-09,29396,909,6,0,36271,1422
Australia,2021-04-08,29390,909,5,0,35974,1411
Australia,2021-04-07,29385,909,6,0,35712,1400
Australia,2021-04-06,29379,909,14,0,36780,1442
Australia,2021-04-05,29365,909,8,0,43221,1695
Australia,2021-04-04,29357,909,9,0,47380,1858
Australia,2021-04-03,29348,909,7,0,45993,1804
Australia,2021-04-02,29341,909,8,0,51922,2036
Australia,2021-04-01,29333,909,11,0,47988,1882
Austria,2021-04-30,618870,10205,2131,26,49539,5500
Austria,2021-04-29,616739,10179,2229,27,48615,5398
Austria,2021-04-28,614510,10152,2340,26,48033,5333
Austria,2021-04-27,612170,10126,1625,28,48794,5418
Austria,2021-04-26,610545,10098,1566,11,48399,5374
Austria,2021-04-25,608979,10087,2025,17,48491,5384
Austria,2021-04-24,606954,10070,2131,15,47268,5248
Austria,2021-04-23,604823,10055,2329,29,49736,5522
Austria,2021-04-22,602494,10026,2405,29,50123,5565
Austria,2021-04-21,600089,9997,2523,38,50597,5618
Austria,2021-04-20,597566,9959,2026,37,51129,5677
Austria,2021-04-19,595540,9922,2117,24,51124,5676
Austria,2021-04-18,593423,9898,2076,28,51607,5730
Austria,2021-04-17,591347,9870,2048,27,52581,5838
Austria,2021-04-16,589299,9843,2416,30,53792,5973
Austria,2021-04-15,586883,9813,2678,34,54975,6104
Austria,2021-04-14,584205,9779,2942,31,54853,6090
Austria,2021-04-13,581263,9748,2313,42,53372,5926
Austria,2021-04-12,578950,9706,1943,19,52464,5825
Austria,2021-04-11,577007,9687,2252,25,49362,5481
Austria,2021-04-10,574755,9662,3139,38,47101,5230
Austria,2021-04-09,571616,9624,2702,38,40914,4543
Austria,2021-04-08,568914,9586,2906,40,36076,4006
Austria,2021-04-07,566008,9546,3101,29,31772,3528
Austria,2021-04-06,562907,9517,1935,35,28884,3207
Austria,2021-04-05,560972,9482,2217,33,29311,3254
Austria,2021-04-04,558755,9449,2743,15,31298,3475
Austria,2021-04-03,556012,9434,3283,37,31943,3547
Austria,2021-04-02,552729,9397,3137,29,34741,3857
Austria,2021-04-01,549592,9368,3363,29,35710,3965
Azerbaijan,2021-04-30,319109,4517,1196,27,13118,1294
Azerbaijan,2021-04-29,317913,4490,1392,29,12802,1263
Azerbaijan,2021-04-28,316521,4461,1402,32,12746,1257
Azerbaijan,2021-04-27,315119,4429,1307,27,12576,1240
Azerbaijan,2021-04-26,313812,4402,806,31,12326,1216
