,Location,Date,Total_Confirmed,Total_Deaths,Daily_Confirmed,Daily_Deaths,daily_vaccinations,daily_vaccinations_per_million,gdppc
0,Afghanistan,2021-04-22,58312,2561,98,4,8000,206,507.1
1,Afghanistan,2021-04-21,58214,2557,177,8,8000,206,507.1
2,Afghanistan,2021-04-20,58037,2549,139,3,8000,206,507.1
3,Afghanistan,2021-04-19,57898,2546,105,7,8000,206,507.1
4,Afghanistan,2021-04-18,57793,2539,72,0,8000,206,507.1
5,Afghanistan,2021-04-17,57721,2539,109,4,8000,206,507.1
6,Afghanistan,2021-04-16,57612,2535,78,2,8000,206,507.1
7,Afghanistan,2021-04-15,57534,2533,42,1,8000,206,507.1
8,Afghanistan,2021-04-14,57492,2532,128,3,8000,206,507.1
9,Afghanistan,2021-04-13,57364,2529,122,0,7286,187,507.1
10,Afghanistan,2021-04-12,57242,2529,82,8,6571,169,507.1
11,Afghanistan,2021-04-11,57160,2521,16,0,5857,150,507.1
12,Afghanistan,2021-04-10,57144,2521,125,0,5143,132,507.1
13,Afghanistan,2021-04-09,57019,2521,76,5,4429,114,507.1
14,Afghanistan,2021-04-08,56943,2516,70,4,3714,95,507.1
15,Afghanistan,2021-04-07,56873,2512,94,0,3000,77,507.1
16,Afghanistan,2021-04-06,56779,2512,62,4,3000,77,507.1
17,Afghanistan,2021-04-05,56717,2508,41,11,3000,77,507.1
18,Afghanistan,2021-04-04,56676,2497,81,1,3000,77,507.1
19,Afghanistan,2021-04-03,56595,2496,23,1,3000,77,507.1
20,Afghanistan,2021-04-02,56572,2495,55,6,3000,77,507.1
21,Afghanistan,2021-04-01,56517,2489,63,5,3000,77,507.1
22,Afghanistan,2021-03-31,56454,2484,70,8,3000,77,507.1
23,Afghanistan,2021-03-30,56384,2476,62,4,3000,77,507.1
24,Afghanistan,2021-03-29,56322,2472,28,2,3000,77,507.1
25,Afghanistan,2021-03-28,56294,2470,4,1,3000,77,507.1
26,Afghanistan,2021-03-27,56290,2469,36,2,3000,77,507.1
27,Afghanistan,2021-03-26,56254,2467,28,0,3000,77,507.1
28,Afghanistan,2021-03-25,56226,2467,34,1,3000,77,507.1
29,Afghanistan,2021-03-24,56192,2466,15,0,3000,77,507.1
30,Afghanistan,2021-03-23,56177,2466,24,2,3000,77,507.1
31,Afghanistan,2021-03-22,56153,2464,50,1,2980,77,507.1
32,Afghanistan,2021-03-21,56103,2463,10,1,2961,76,507.1
33,Afghanistan,2021-03-20,56093,2462,24,0,2941,76,507.1
34,Afghanistan,2021-03-19,56069,2462,25,0,2921,75,507.1
35,Afghanistan,2021-03-18,56044,2462,28,2,2902,75,507.1
36,Afghanistan,2021-03-17,56016,2460,21,0,2882,74,507.1
37,Afghanistan,2021-03-16,55995,2460,10,1,2862,74,507.1
38,Afghanistan,2021-03-15,55985,2459,0,2,2862,74,507.1
39,Afghanistan,2021-03-14,55985,2457,26,3,2862,74,507.1
40,Afghanistan,2021-03-13,55959,2454,0,0,2862,74,507.1
41,Afghanistan,2021-03-12,55959,2454,42,3,2862,74,507.1
42,Afghanistan,2021-03-11,55917,2451,23,0,2862,74,507.1
43,Afghanistan,2021-03-10,55894,2451,18,0,2862,74,507.1
44,Afghanistan,2021-03-09,55876,2451,0,0,2862,74,507.1
45,Afghanistan,2021-03-08,55876,2451,29,2,2862,74,507.1
46,Afghanistan,2021-03-07,55847,2449,7,0,2862,74,507.1
47,Afghanistan,2021-03-06,55840,2449,13,0,2649,68,507.1
48,Afghanistan,2021-03-05,55827,2449,52,3,2435,63,507.1
49,Afghanistan,2021-03-04,55775,2446,5,0,2221,57,507.1
50,Afghanistan,2021-03-03,55770,2446,11,0,2008,52,507.1
51,Afghanistan,2021-03-02,55759,2446,26,2,1794,46,507.1
52,Afghanistan,2021-03-01,55733,2444,19,1,1580,41,507.1
53,Afghanistan,2021-02-28,55714,2443,7,0,1367,35,507.1
54,Afghanistan,2021-02-27,55707,2443,11,1,1367,35,507.1
55,Afghanistan,2021-02-26,55696,2442,16,4,1367,35,507.1
56,Afghanistan,2021-02-25,55680,2438,16,2,1367,35,507.1
57,Afghanistan,2021-02-24,55664,2436,18,1,1367,35,507.1
58,Afghanistan,2021-02-23,55646,2435,29,2,1367,35,507.1
59,Albania,2021-05-05,131419,2403,92,1,17565,6104,5353.24
60,Albania,2021-05-04,131327,2402,51,3,17219,5983,5353.24
61,Albania,2021-05-03,131276,2399,38,2,15555,5405,5353.24
62,Albania,2021-05-02,131238,2397,53,1,14489,5035,5353.24
63,Albania,2021-05-01,131185,2396,100,2,13423,4664,5353.24
64,Albania,2021-04-30,131085,2394,108,5,12222,4247,5353.24
65,Albania,2021-04-29,130977,2389,118,3,10036,3487,5353.24
66,Albania,2021-04-28,130859,2386,123,3,8793,3055,5353.24
67,Albania,2021-04-27,130736,2383,130,4,9551,3319,5353.24
68,Albania,2021-04-26,130606,2379,69,1,8955,3112,5353.24
69,Albania,2021-04-25,130537,2378,128,6,10205,3546,5353.24
70,Albania,2021-04-24,130409,2372,139,5,10746,3734,5353.24
71,Albania,2021-04-23,130270,2367,156,3,10961,3809,5353.24
72,Albania,2021-04-22,130114,2364,134,6,11216,3897,5353.24
73,Albania,2021-04-21,129980,2358,138,5,11318,3933,5353.24
74,Albania,2021-04-20,129842,2353,148,6,9826,3414,5353.24
75,Albania,2021-04-19,129694,2347,100,5,11200,3892,5353.24
76,Albania,2021-04-18,129594,2342,138,2,10105,3511,5353.24
77,Albania,2021-04-17,129456,2340,149,3,9719,3377,5353.24
78,Albania,2021-04-16,129307,2337,179,2,9135,3174,5353.24
79,Albania,2021-04-15,129128,2335,169,4,8849,3075,5353.24
80,Albania,2021-04-14,128959,2331,207,5,8639,3002,5353.24
81,Albania,2021-04-13,128752,2326,234,5,8518,2960,5353.24
82,Albania,2021-04-12,128518,2321,125,4,8689,3019,5353.24
83,Albania,2021-04-11,128393,2317,238,7,9898,3439,5353.24
84,Albania,2021-04-10,128155,2310,360,6,10188,3540,5353.24
85,Albania,2021-04-09,127795,2304,286,7,11170,3881,5353.24
86,Albania,2021-04-08,127509,2297,317,6,12440,4323,5353.24
87,Albania,2021-04-07,127192,2291,256,8,13362,4643,5353.24
88,Albania,2021-04-06,126936,2283,141,9,14610,5077,5353.24
89,Albania,2021-04-05,126795,2274,264,9,15435,5363,5353.24
90,Albania,2021-04-04,126531,2265,348,9,16412,5703,5353.24
91,Albania,2021-04-03,126183,2256,341,9,17346,6028,5353.24
92,Albania,2021-04-02,125842,2247,336,6,15748,5472,5353.24
93,Albania,2021-04-01,125506,2241,349,6,13731,4771,5353.24
94,Albania,2021-03-31,125157,2235,434,8,12122,4212,5353.24
95,Albania,2021-03-30,124723,2227,304,11,9662,3357,5353.24
96,Albania,2021-03-29,124419,2216,285,6,7204,2503,5353.24
97,Albania,2021-03-28,124134,2210,493,6,4678,1626,5353.24
98,Albania,2021-03-27,123641,2204,425,12,3113,1082,5353.24
